Tanggal;Tavg
29-04-2021;26
30-04-2021;26,7
01-05-2021;26,6
02-05-2021;26,1
03-05-2021;27,1
04-05-2021;26,8
05-05-2021;27,2
06-05-2021;26,7
07-05-2021;27,8
08-05-2021;27,9
09-05-2021;28,5
10-05-2021;28,7
11-05-2021;26,3
12-05-2021;26,1
13-05-2021;27,8
14-05-2021;28,1
15-05-2021;28,2
16-05-2021;27,3
17-05-2021;26,9
18-05-2021;25,7
19-05-2021;27,3
20-05-2021;28,1
21-05-2021;28,2
22-05-2021;25,5
23-05-2021;28,3
24-05-2021;28,5
25-05-2021;28,3
26-05-2021;28,7
27-05-2021;27,3
28-05-2021;27,7
29-05-2021;27,8
30-05-2021;28,1
31-05-2021;27,8
01-06-2021;28,3
02-06-2021;28,3
03-06-2021;28,5
04-06-2021;28,6
05-06-2021;28,6
06-06-2021;28
07-06-2021;27,5
08-06-2021;28
09-06-2021;27,8
10-06-2021;27,2
11-06-2021;27,2
12-06-2021;27,6
13-06-2021;26,2
14-06-2021;27,1
15-06-2021;27,6
16-06-2021;26
17-06-2021;28,2
18-06-2021;26,3
19-06-2021;26,4
20-06-2021;27,3
21-06-2021;27,7
22-06-2021;26,6
23-06-2021;26,9
24-06-2021;27,4
25-06-2021;28
26-06-2021;26,5
27-06-2021;26,1
28-06-2021;26,7
29-06-2021;25,9
30-06-2021;26,1
01-07-2021;27,5
02-07-2021;27,6
03-07-2021;27,6
04-07-2021;26,6
05-07-2021;27,4
06-07-2021;26,7
07-07-2021;26,4
08-07-2021;26,8
09-07-2021;27,9
10-07-2021;27
11-07-2021;26,5
12-07-2021;27,1
13-07-2021;23,9
14-07-2021;25,5
15-07-2021;26,9
16-07-2021;27,2
17-07-2021;28,3
18-07-2021;28,4
19-07-2021;26
20-07-2021;27,7
21-07-2021;27,4
22-07-2021;27,9
23-07-2021;28
24-07-2021;27,4
25-07-2021;28,7
26-07-2021;28,2
27-07-2021;27,4
28-07-2021;27,4
29-07-2021;27,7
30-07-2021;28
31-07-2021;27,2
01-08-2021;26,8
02-08-2021;27,2
03-08-2021;27,3
04-08-2021;24,2
05-08-2021;27,4
06-08-2021;28,3
